Traceback (most recent call last):
  File "unet_attn.py", line 19, in <module>
    data_set = FreqDataset(mode='IR',minmax=False)
  File "/home/yanggk/H2L/Data_Loader.py", line 44, in __init__
    L_wide_IR = self.make_noise(L_wide_IR)
  File "/home/yanggk/H2L/Data_Loader.py", line 113, in make_noise
    item[i][j] += noise[i][j]
KeyboardInterrupt
epoch: 0 train_loss: 94.88113403320312 val_loss: 68.42756652832031, save best model
epoch: 1 train_loss: 69.34756469726562 val_loss: 60.930870056152344, save best model
epoch: 2 train_loss: 61.714073181152344 val_loss: 57.25853729248047, save best model
epoch: 3 train_loss: 56.98238754272461 val_loss: 57.208866119384766, save best model
epoch: 4 train_loss: 52.96450424194336 val_loss: 55.5378532409668, save best model
epoch: 5 train_loss: 49.842979431152344 val_loss: 56.298912048339844, 
epoch: 6 train_loss: 46.67877197265625 val_loss: 55.04935836791992, save best model
epoch: 7 train_loss: 44.50905990600586 val_loss: 53.24303436279297, save best model
epoch: 8 train_loss: 42.91450500488281 val_loss: 53.669185638427734, 
epoch: 9 train_loss: 39.73169708251953 val_loss: 55.29196548461914, 
epoch: 10 train_loss: 37.31501770019531 val_loss: 55.154510498046875, 
epoch: 11 train_loss: 35.647254943847656 val_loss: 54.76735305786133, 
epoch: 12 train_loss: 33.44779968261719 val_loss: 57.246273040771484, 
epoch: 13 train_loss: 30.807373046875 val_loss: 55.493003845214844, 
epoch: 14 train_loss: 28.204998016357422 val_loss: 54.13493347167969, 
epoch: 15 train_loss: 26.405113220214844 val_loss: 54.991390228271484, 
epoch: 16 train_loss: 24.242839813232422 val_loss: 57.65479278564453, 
epoch: 17 train_loss: 22.601030349731445 val_loss: 58.03706359863281, 
epoch: 18 train_loss: 21.747438430786133 val_loss: 59.38332748413086, 
epoch: 19 train_loss: 21.073226928710938 val_loss: 57.615211486816406, 
epoch: 20 train_loss: 20.27562141418457 val_loss: 59.07139587402344, 
epoch: 21 train_loss: 19.361900329589844 val_loss: 55.610347747802734, 
epoch: 22 train_loss: 17.58320426940918 val_loss: 57.48297882080078, 
epoch: 23 train_loss: 16.55656623840332 val_loss: 55.79298400878906, 
epoch: 24 train_loss: 16.150367736816406 val_loss: 55.43303680419922, 
epoch: 25 train_loss: 15.614492416381836 val_loss: 55.03102111816406, 
epoch: 26 train_loss: 14.845440864562988 val_loss: 55.97282409667969, 
epoch: 27 train_loss: 14.099106788635254 val_loss: 58.979042053222656, 
epoch: 28 train_loss: 13.462906837463379 val_loss: 57.91642379760742, 
epoch: 29 train_loss: 13.052857398986816 val_loss: 57.19815444946289, 
epoch: 30 train_loss: 12.471485137939453 val_loss: 56.70911407470703, 
epoch: 31 train_loss: 12.069992065429688 val_loss: 55.23161697387695, 
epoch: 32 train_loss: 11.81299114227295 val_loss: 57.07601547241211, 
epoch: 33 train_loss: 11.725021362304688 val_loss: 56.42976379394531, 
epoch: 34 train_loss: 11.234965324401855 val_loss: 56.68510055541992, 
epoch: 35 train_loss: 10.930696487426758 val_loss: 55.524330139160156, 
epoch: 36 train_loss: 10.548047065734863 val_loss: 56.12184143066406, 
epoch: 37 train_loss: 10.273062705993652 val_loss: 57.36639404296875, 
epoch: 38 train_loss: 10.238022804260254 val_loss: 55.487300872802734, 
